OrderDate,OrderNumber,OrderLineItem,CustomerKey,ProductKey,SalesAmount,UnitPrice,TotalProductCost,Profit
2011-01-01,SO43711,1,27606,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-01,SO43712,1,13513,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-02,SO43713,1,27601,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-02,SO43714,1,13591,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-02,SO43715,1,16483,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-02,SO43716,1,16529,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-02,SO43717,1,25249,336,699.0982,699.0982,413.1463,285.9519
2011-01-03,SO43718,1,27668,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-03,SO43719,1,27612,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-03,SO43720,1,13264,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-03,SO43721,1,13590,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-04,SO43722,1,13581,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-04,SO43723,1,14520,332,699.0982,699.0982,413.1463,285.9519
2011-01-04,SO43724,1,16520,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-05,SO43725,1,13258,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-05,SO43726,1,14560,332,699.0982,699.0982,413.1463,285.9519
2011-01-05,SO43727,1,16607,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-06,SO43728,1,27666,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-06,SO43729,1,11238,346,3399.99,3399.99,1912.1544,1487.8356
2011-01-06,SO43730,1,25861,346,3399.99,3399.99,1912.1544,1487.8356
2011-01-06,SO43731,1,16629,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-06,SO43732,1,11025,350,3374.99,3374.99,1898.0944,1476.8956
2011-01-06,SO43733,1,27577,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-07,SO43734,1,27604,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-07,SO43735,1,16522,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-07,SO43736,1,11002,346,3399.99,3399.99,1912.1544,1487.8356
2011-01-08,SO43737,1,13261,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-08,SO43738,1,11606,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-08,SO43739,1,13563,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-08,SO43740,1,16527,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-09,SO43741,1,27671,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-09,SO43742,1,13576,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-09,SO43743,1,11007,347,3399.99,3399.99,1912.1544,1487.8356
2011-01-09,SO43744,1,16631,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-10,SO43745,1,16514,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-10,SO43746,1,16616,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43747,1,27623,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43748,1,27625,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43749,1,27636,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43750,1,11591,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43751,1,11592,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43752,1,13265,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-11,SO43753,1,16482,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-12,SO43754,1,27617,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-12,SO43755,1,27670,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-12,SO43756,1,19941,332,699.0982,699.0982,413.1463,285.9519
2011-01-12,SO43757,1,11017,350,3374.99,3374.99,1898.0944,1476.8956
2011-01-13,SO43758,1,27646,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-13,SO43759,1,13257,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-13,SO43760,1,16352,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-13,SO43761,1,16493,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-14,SO43762,1,27578,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-14,SO43763,1,16525,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-14,SO43764,1,16612,310,3578.27,3578.27,2171.2942,1406.9758
2011-01-14,SO43765,1,11010,346,3399.99,3399.99,1912.1544,1487.8356
2011-01-15,SO43766,1,16518,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-15,SO43767,1,11001,350,3374.99,3374.99,1898.0944,1476.8956
2011-01-16,SO43768,1,27649,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43769,1,21659,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43770,1,27614,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43771,1,14559,330,699.0982,699.0982,413.1463,285.9519
2011-01-16,SO43772,1,16524,312,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43773,1,16526,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43774,1,16348,313,3578.27,3578.27,2171.2942,1406.9758
2011-01-16,SO43775,1,11027,347,3399.99,3399.99,1912.1544,1487.8356
2011-01-17,SO43776,1,13260,314,3578.27,3578.27,2171.2942,1406.9758
2011-01-17,SO43777,1,16515,311,3578.27,3578.27,2171.2942,1406.9758
2011-01-17,SO43778,1,11018,345,3399.99,3399.99,1912.1544,1487.8356
